activity_id,disposition,change_id,raw_locator,reason
REVIEW-0133,BENIGN,CHG-622B7F9A4E,ubi-2026-0083-stage-5-discrepancy.json:1,Authorized Change Ticket
REVIEW-0182,BENIGN,CHG-E5BE48C520,ubi-2026-0083-stage-5-discrepancy.json:2,Authorized Change Ticket
REVIEW-0183,BENIGN,CHG-AF0D67FAD4,ubi-2026-0083-stage-5-discrepancy.json:3,Authorized Change Ticket
REVIEW-0295,BENIGN,CHG-67F2FB1638,ubi-2026-0083-stage-5-discrepancy.json:4,Authorized Change Ticket
REVIEW-0334,BENIGN,CHG-674BE357AF,ubi-2026-0083-stage-5-discrepancy.json:5,Authorized Change Ticket
REVIEW-0311,BENIGN,CHG-093FC12DF3,ubi-2026-0083-stage-5-discrepancy.json:6,Authorized Change Ticket
REVIEW-0221,BENIGN,CHG-288CFD254D,ubi-2026-0083-stage-5-discrepancy.json:7,Authorized Change Ticket
REVIEW-0151,ESCALATE,CHG-8D543FA382,ubi-2026-0083-stage-5-discrepancy.json:8,Invalid status (PENDING)
REVIEW-0355,BENIGN,CHG-5223078B55,ubi-2026-0083-stage-5-discrepancy.json:9,Authorized Change Ticket
REVIEW-0265,BENIGN,CHG-7A88CED99F,ubi-2026-0083-stage-5-discrepancy.json:10,Authorized Change Ticket
REVIEW-0367,ESCALATE,CHG-959B73DFB1,ubi-2026-0083-stage-5-discrepancy.json:11,Invalid status (PENDING)
REVIEW-0113,BENIGN,CHG-9F230E05A1,ubi-2026-0083-stage-5-discrepancy.json:12,Authorized Change Ticket
REVIEW-0097,BENIGN,CHG-A923AE7C37,ubi-2026-0083-stage-5-discrepancy.json:13,Authorized Change Ticket
REVIEW-0095,BENIGN,CHG-AE7457D61D,ubi-2026-0083-stage-5-discrepancy.json:14,Authorized Change Ticket
REVIEW-0153,BENIGN,CHG-B98E66D00D,ubi-2026-0083-stage-5-discrepancy.json:15,Authorized Change Ticket
REVIEW-0230,BENIGN,CHG-4D84235E70,ubi-2026-0083-stage-5-discrepancy.json:16,Authorized Change Ticket
REVIEW-0196,ESCALATE,CHG-9E2A8889BF,ubi-2026-0083-stage-5-discrepancy.json:17,Invalid asset (asset-999)
REVIEW-0372,BENIGN,CHG-33398D5AD5,ubi-2026-0083-stage-5-discrepancy.json:18,Authorized Change Ticket
REVIEW-0316,BENIGN,CHG-EEC7160C12,ubi-2026-0083-stage-5-discrepancy.json:19,Authorized Change Ticket
REVIEW-0143,BENIGN,CHG-F618788B78,ubi-2026-0083-stage-5-discrepancy.json:20,Authorized Change Ticket
REVIEW-0086,BENIGN,CHG-E6D3EDE493,ubi-2026-0083-stage-5-discrepancy.json:21,Authorized Change Ticket
REVIEW-0285,BENIGN,CHG-ABC22D0E73,ubi-2026-0083-stage-5-discrepancy.json:22,Authorized Change Ticket
REVIEW-0054,BENIGN,CHG-77E867A5D5,ubi-2026-0083-stage-5-discrepancy.json:23,Authorized Change Ticket
REVIEW-0136,BENIGN,CHG-D21A672D2F,ubi-2026-0083-stage-5-discrepancy.json:24,Authorized Change Ticket
REVIEW-0034,BENIGN,CHG-EA2D6A4FEE,ubi-2026-0083-stage-5-discrepancy.json:25,Authorized Change Ticket
REVIEW-0114,BENIGN,CHG-15B932258E,ubi-2026-0083-stage-5-discrepancy.json:26,Authorized Change Ticket
REVIEW-0152,ESCALATE,CHG-700CBCFE22,ubi-2026-0083-stage-5-discrepancy.json:27,Invalid asset (asset-999)
REVIEW-0013,BENIGN,CHG-19CD98E8F3,ubi-2026-0083-stage-5-discrepancy.json:28,Authorized Change Ticket
REVIEW-0078,BENIGN,CHG-E1814621FA,ubi-2026-0083-stage-5-discrepancy.json:29,Authorized Change Ticket
REVIEW-0263,BENIGN,CHG-37A000753E,ubi-2026-0083-stage-5-discrepancy.json:30,Authorized Change Ticket
REVIEW-0129,BENIGN,CHG-3EF9544273,ubi-2026-0083-stage-5-discrepancy.json:31,Authorized Change Ticket
REVIEW-0181,BENIGN,CHG-636EE0080E,ubi-2026-0083-stage-5-discrepancy.json:32,Authorized Change Ticket
REVIEW-0353,BENIGN,CHG-9CA39BC554,ubi-2026-0083-stage-5-discrepancy.json:33,Authorized Change Ticket
REVIEW-0339,ESCALATE,CHG-2A7A482073,ubi-2026-0083-stage-5-discrepancy.json:34,Invalid status (PENDING)
REVIEW-0008,BENIGN,CHG-0E167D8906,ubi-2026-0083-stage-5-discrepancy.json:35,Authorized Change Ticket
REVIEW-0137,BENIGN,CHG-C5E3081E8B,ubi-2026-0083-stage-5-discrepancy.json:36,Authorized Change Ticket
